depot,route,date,min,min_rest,max,max_rest,min_path,max_path,min_resp_path,max_resp_path,min_distance,max_distance,levenshtein_distance_2,min_number_delivery_points,max_number_delivery_points,missing_in_min,missing_in_max,sequence_similarity
0521,671,20220616,063141,151-0,074956,114-114,0521_671-20220616/0521_671-20220616-063141-151-0.json,0521_671-20220616/0521_671-20220616-074956-114-114.json,0521_671-20220616/0521_671-20220616-063141-151-0.txt,0521_671-20220616/0521_671-20220616-074956-114-114.txt,27.984,26.03,130,153,116,0.0,37.0,0.4226415094339623
0521,671,20220617,062139,90-0,072054,83-83,0521_671-20220617/0521_671-20220617-062139-90-0.json,0521_671-20220617/0521_671-20220617-072054-83-83.json,0521_671-20220617/0521_671-20220617-062139-90-0.txt,0521_671-20220617/0521_671-20220617-072054-83-83.txt,23.752,24.836,44,92,85,0.0,7.0,0.7052023121387283
0521,671,20220618,104524,19-0,105316,19-19,0521_671-20220618/0521_671-20220618-104524-19-0.json,0521_671-20220618/0521_671-20220618-105316-19-19.json,0521_671-20220618/0521_671-20220618-104524-19-0.txt,0521_671-20220618/0521_671-20220618-105316-19-19.txt,16.174,17.404,8,21,21,0.0,0.0,0.7894736842105263
0521,671,20220620,060341,101-0,061021,94-94,0521_671-20220620/0521_671-20220620-060341-101-0.json,0521_671-20220620/0521_671-20220620-061021-94-94.json,0521_671-20220620/0521_671-20220620-060341-101-0.txt,0521_671-20220620/0521_671-20220620-061021-94-94.txt,29.536,30.495,53,103,96,0.0,7.0,0.7282051282051282
0521,671,20220621,065937,126-0,082255,120-120,0521_671-20220621/0521_671-20220621-065937-126-0.json,0521_671-20220621/0521_671-20220621-082255-120-120.json,0521_671-20220621/0521_671-20220621-065937-126-0.txt,0521_671-20220621/0521_671-20220621-082255-120-120.txt,26.478,27.743,53,128,122,0.0,6.0,0.7723577235772358
0521,671,20220622,063153,114-0,074416,110-110,0521_671-20220622/0521_671-20220622-063153-114-0.json,0521_671-20220622/0521_671-20220622-074416-110-110.json,0521_671-20220622/0521_671-20220622-063153-114-0.txt,0521_671-20220622/0521_671-20220622-074416-110-110.txt,24.507,25.418,66,115,112,1.0,4.0,0.600896860986547
0521,672,20220530,084741,130-0,084741,130-0,0521_672-20220530/0521_672-20220530-084741-130-0.json,0521_672-20220530/0521_672-20220530-084741-130-0.json,0521_672-20220530/0521_672-20220530-084741-130-0.txt,0521_672-20220530/0521_672-20220530-084741-130-0.txt,23.627,23.627,0,132,132,0.0,0.0,1.0
0521,672,20220531,090950,159-0,105642,157-157,0521_672-20220531/0521_672-20220531-090950-159-0.json,0521_672-20220531/0521_672-20220531-105642-157-157.json,0521_672-20220531/0521_672-20220531-090950-159-0.txt,0521_672-20220531/0521_672-20220531-105642-157-157.txt,24.949,25.643,130,161,159,1.0,3.0,0.3227848101265823
0521,672,20220601,085300,118-0,095652,115-115,0521_672-20220601/0521_672-20220601-085300-118-0.json,0521_672-20220601/0521_672-20220601-095652-115-115.json,0521_672-20220601/0521_672-20220601-085300-118-0.txt,0521_672-20220601/0521_672-20220601-095652-115-115.txt,22.333,24.129,97,120,117,0.0,3.0,0.41201716738197425
0521,672,20220602,083714,105-0,091330,103-103,0521_672-20220602/0521_672-20220602-083714-105-0.json,0521_672-20220602/0521_672-20220602-091330-103-103.json,0521_672-20220602/0521_672-20220602-083714-105-0.txt,0521_672-20220602/0521_672-20220602-091330-103-103.txt,22.586,22.302,78,107,105,0.0,2.0,0.5288461538461539
0521,672,20220603,083510,101-0,092010,97-97,0521_672-20220603/0521_672-20220603-083510-101-0.json,0521_672-20220603/0521_672-20220603-092010-97-97.json,0521_672-20220603/0521_672-20220603-083510-101-0.txt,0521_672-20220603/0521_672-20220603-092010-97-97.txt,21.738,21.777,10,103,99,0.0,4.0,0.9393939393939394
0521,672,20220607,083612,82-0,091608,81-81,0521_672-20220607/0521_672-20220607-083612-82-0.json,0521_672-20220607/0521_672-20220607-091608-81-81.json,0521_672-20220607/0521_672-20220607-083612-82-0.txt,0521_672-20220607/0521_672-20220607-091608-81-81.txt,19.863,20.338,37,84,83,0.0,1.0,0.7484662576687117
0521,672,20220608,084648,143-0,100523,145-145,0521_672-20220608/0521_672-20220608-084648-143-0.json,0521_672-20220608/0521_672-20220608-100523-145-145.json,0521_672-20220608/0521_672-20220608-084648-143-0.txt,0521_672-20220608/0521_672-20220608-100523-145-145.txt,24.747,25.932,112,145,147,5.0,3.0,0.5
0521,672,20220609,084256,122-0,094447,122-122,0521_672-20220609/0521_672-20220609-084256-122-0.json,0521_672-20220609/0521_672-20220609-094447-122-122.json,0521_672-20220609/0521_672-20220609-084256-122-0.txt,0521_672-20220609/0521_672-20220609-094447-122-122.txt,23.908,24.57,100,124,124,2.0,2.0,0.5573770491803278
0521,672,20220610,084118,104-0,093934,101-101,0521_672-20220610/0521_672-20220610-084118-104-0.json,0521_672-20220610/0521_672-20220610-093934-101-101.json,0521_672-20220610/0521_672-20220610-084118-104-0.txt,0521_672-20220610/0521_672-20220610-093934-101-101.txt,25.033,24.792,104,106,103,0.0,3.0,0.35121951219512193
0521,672,20220613,084041,108-0,093023,104-104,0521_672-20220613/0521_672-20220613-084041-108-0.json,0521_672-20220613/0521_672-20220613-093023-104-104.json,0521_672-20220613/0521_672-20220613-084041-108-0.txt,0521_672-20220613/0521_672-20220613-093023-104-104.txt,23.884,21.223,37,110,106,0.0,4.0,0.6981132075471698
0521,672,20220614,083109,114-0,093808,110-110,0521_672-20220614/0521_672-20220614-083109-114-0.json,0521_672-20220614/0521_672-20220614-093808-110-110.json,0521_672-20220614/0521_672-20220614-083109-114-0.txt,0521_672-20220614/0521_672-20220614-093808-110-110.txt,22.242,25.185,114,116,112,0.0,4.0,0.05357142857142857
0521,672,20220615,083227,117-0,094513,118-118,0521_672-20220615/0521_672-20220615-083227-117-0.json,0521_672-20220615/0521_672-20220615-094513-118-118.json,0521_672-20220615/0521_672-20220615-083227-117-0.txt,0521_672-20220615/0521_672-20220615-094513-118-118.txt,23.11,24.413,116,119,120,5.0,4.0,0.28936170212765955
0521,672,20220616,085358,108-0,095237,108-108,0521_672-20220616/0521_672-20220616-085358-108-0.json,0521_672-20220616/0521_672-20220616-095237-108-108.json,0521_672-20220616/0521_672-20220616-085358-108-0.txt,0521_672-20220616/0521_672-20220616-095237-108-108.txt,21.578,22.061,12,109,110,1.0,0.0,0.8651162790697674
0521,672,20220617,090546,90-0,095554,87-87,0521_672-20220617/0521_672-20220617-090546-90-0.json,0521_672-20220617/0521_672-20220617-095554-87-87.json,0521_672-20220617/0521_672-20220617-090546-90-0.txt,0521_672-20220617/0521_672-20220617-095554-87-87.txt,22.596,21.46,88,91,89,1.0,3.0,0.4431818181818182
0521,672,20220620,100205,80-0,103205,77-77,0521_672-20220620/0521_672-20220620-100205-80-0.json,0521_672-20220620/0521_672-20220620-103205-77-77.json,0521_672-20220620/0521_672-20220620-100205-80-0.txt,0521_672-20220620/0521_672-20220620-103205-77-77.txt,21.961,20.912,78,82,79,0.0,3.0,0.2929936305732484
0521,672,20220621,095052,120-0,110340,118-118,0521_672-20220621/0521_672-20220621-095052-120-0.json,0521_672-20220621/0521_672-20220621-110340-118-118.json,0521_672-20220621/0521_672-20220621-095052-120-0.txt,0521_672-20220621/0521_672-20220621-110340-118-118.txt,23.879,21.907,67,122,120,1.0,3.0,0.5798319327731093
